text,intent,language
हैलो,greeting,hi
नमस्ते,greeting,hi
हाय,greeting,hin
हैलो,greeting,hi
hey jarvis,greeting,en-IN
नमस्ते,greeting,hi
हैलो,greeting,hin
hey jarvis,greeting,en-IN
hello,greeting,en-IN
hello,greeting,en-IN
good morning,greeting,en-IN
hey jarvis,greeting,en
hi,greeting,en
नमस्ते,greeting,hin
हैलो,greeting,hi
hi,greeting,en
hi,greeting,en
hey jarvis,greeting,en-IN
hi,greeting,en-IN
hey jarvis,greeting,en-IN
हैलो,greeting,hin
hello,greeting,en-IN
hi,greeting,en
हैलो,greeting,hi
हाय,greeting,hin
नमस्ते,greeting,hin
हैलो,greeting,hi
हाय,greeting,hin
हाय,greeting,hi
हाय,greeting,hi
नमस्ते,greeting,hi
hello,greeting,en-IN
hello,greeting,en-IN
हैलो,greeting,hi
hi,greeting,en
good morning,greeting,en-IN
हाय,greeting,hi
good morning,greeting,en-IN
hi,greeting,en
hey jarvis,greeting,en-IN
नमस्ते,greeting,hi
हैलो,greeting,hin
hello,greeting,en
हैलो,greeting,hi
hello,greeting,en-IN
hey jarvis,greeting,en
good morning,greeting,en
good morning,greeting,en
हाय,greeting,hi
good morning,greeting,en-IN
hello,greeting,en-IN
hello,greeting,en
hello,greeting,en
good morning,greeting,en-IN
hi,greeting,en
hey jarvis,greeting,en-IN
हाय,greeting,hi
hi,greeting,en
hello,greeting,en
हैलो,greeting,hin
hello,greeting,en
good morning,greeting,en-IN
नमस्ते,greeting,hi
good morning,greeting,en-IN
हाय,greeting,hin
hey jarvis,greeting,en
नमस्ते,greeting,hin
हैलो,greeting,hi
good morning,greeting,en
हैलो,greeting,hi
hey jarvis,greeting,en
हैलो,greeting,hin
हाय,greeting,hi
हाय,greeting,hin
hi,greeting,en-IN
hey jarvis,greeting,en-IN
हाय,greeting,hi
hi,greeting,en
good morning,greeting,en-IN
hey jarvis,greeting,en-IN
हैलो,greeting,hi
हैलो,greeting,hin
नमस्ते,greeting,hin
hey jarvis,greeting,en-IN
हाय,greeting,hi
hello,greeting,en
हाय,greeting,hi
hey jarvis,greeting,en-IN
hey jarvis,greeting,en
hi,greeting,en
हैलो,greeting,hi
good morning,greeting,en-IN
हाय,greeting,hin
हाय,greeting,hin
नमस्ते,greeting,hin
hello,greeting,en-IN
नमस्ते,greeting,hi
हाय,greeting,hin
हैलो,greeting,hin
hi,greeting,en
good morning,greeting,en-IN
hey jarvis,greeting,en-IN
नमस्ते,greeting,hin
हैलो,greeting,hin
हाय,greeting,hi
hi,greeting,en-IN
हाय,greeting,hin
नमस्ते,greeting,hin
हैलो,greeting,hi
हैलो,greeting,hi
good morning,greeting,en-IN
हाय,greeting,hi
good morning,greeting,en
हैलो,greeting,hin
नमस्ते,greeting,hin
हैलो,greeting,hi
hello,greeting,en-IN
नमस्ते,greeting,hin
hey jarvis,greeting,en
हैलो,greeting,hin
हैलो,greeting,hi
hello,greeting,en
hey jarvis,greeting,en
hi,greeting,en
good morning,greeting,en-IN
हाय,greeting,hi
नमस्ते,greeting,hi
नमस्ते,greeting,hin
hello,greeting,en-IN
हाय,greeting,hin
good morning,greeting,en-IN
hello,greeting,en-IN
hi,greeting,en
नमस्ते,greeting,hin
हाय,greeting,hin
हैलो,greeting,hin
हैलो,greeting,hi
नमस्ते,greeting,hin
हाय,greeting,hin
hello,greeting,en
hello,greeting,en
हाय,greeting,hin
हैलो,greeting,hi
good morning,greeting,en-IN
hey jarvis,greeting,en-IN
नमस्ते,greeting,hi
good morning,greeting,en-IN
hey jarvis,greeting,en
hello,greeting,en
हैलो,greeting,hi
hello,greeting,en-IN
hello,greeting,en
हैलो,greeting,hin
hi,greeting,en-IN
हाय,greeting,hin
hi,greeting,en
hey jarvis,greeting,en
hi,greeting,en
नमस्ते,greeting,hi
hey jarvis,greeting,en-IN
good morning,greeting,en
hello,greeting,en
नमस्ते,greeting,hi
हैलो,greeting,hi
नमस्ते,greeting,hin
hi,greeting,en-IN
hey jarvis,greeting,en
हाय,greeting,hi
hey jarvis,greeting,en-IN
good morning,greeting,en
हाय,greeting,hin
हैलो,greeting,hi
hello,greeting,en
हाय,greeting,hin
hello,greeting,en-IN
हैलो,greeting,hin
हाय,greeting,hi
हैलो,greeting,hin
hello,greeting,en
हाय,greeting,hi
नमस्ते,greeting,hi
हैलो,greeting,hin
hey jarvis,greeting,en-IN
हाय,greeting,hin
hey jarvis,greeting,en-IN
hello,greeting,en-IN
हाय,greeting,hi
हाय,greeting,hi
हाय,greeting,hin
hey jarvis,greeting,en-IN
हाय,greeting,hin
हाय,greeting,hin
हैलो,greeting,hi
hello,greeting,en
hey jarvis,greeting,en
नमस्ते,greeting,hin
hey jarvis,greeting,en
hello,greeting,en-IN
नमस्ते,greeting,hi
good morning,greeting,en-IN
हैलो,greeting,hi
hello,greeting,en-IN
नमस्ते,greeting,hi
हाय,greeting,hin
नमस्ते,greeting,hi
नमस्ते,greeting,hi
hi,greeting,en-IN
good morning,greeting,en-IN
good morning,greeting,en-IN
hey jarvis,greeting,en-IN
हैलो,greeting,hin
नमस्ते,greeting,hi
हैलो,greeting,hi
हाय,greeting,hi
good morning,greeting,en-IN
नमस्ते,greeting,hin
hi,greeting,en-IN
हाय,greeting,hi
hey jarvis,greeting,en-IN
good morning,greeting,en-IN
hi,greeting,en
hey jarvis,greeting,en-IN
हाय,greeting,hin
हाय,greeting,hi
good morning,greeting,en
hello,greeting,en
hey jarvis,greeting,en-IN
hi,greeting,en
good morning,greeting,en
hi,greeting,en-IN
हाय,greeting,hi
हाय,greeting,hin
hey jarvis,greeting,en
good morning,greeting,en
हैलो,greeting,hin
hi,greeting,en
हाय,greeting,hin
hey jarvis,greeting,en-IN
हाय,greeting,hin
नमस्ते,greeting,hi
नमस्ते,greeting,hin
hey jarvis,greeting,en-IN
hey jarvis,greeting,en-IN
नमस्ते,greeting,hi
hello,greeting,en-IN
hey jarvis,greeting,en
हैलो,greeting,hi
hello,greeting,en-IN
hi,greeting,en
हैलो,greeting,hin
hello,greeting,en
हाय,greeting,hin
हाय,greeting,hi
हाय,greeting,hin
नमस्ते,greeting,hi
hello,greeting,en-IN
hey jarvis,greeting,en
hi,greeting,en-IN
नमस्ते,greeting,hi
hello,greeting,en
हैलो,greeting,hin
हैलो,greeting,hi
नमस्ते,greeting,hin
hello,greeting,en-IN
नमस्ते,greeting,hin
good morning,greeting,en-IN
hey jarvis,greeting,en
hi,greeting,en-IN
नमस्ते,greeting,hin
हाय,greeting,hin
hey jarvis,greeting,en-IN
hello,greeting,en-IN
नमस्ते,greeting,hi
नमस्ते,greeting,hin
hey jarvis,greeting,en
हैलो,greeting,hi
नमस्ते,greeting,hin
हैलो,greeting,hin
hi,greeting,en
नमस्ते,greeting,hin
hi,greeting,en-IN
नमस्ते,greeting,hin
नमस्ते,greeting,hi
नमस्ते,greeting,hin
good morning,greeting,en
नमस्ते,greeting,hin
good morning,greeting,en-IN
हाय,greeting,hi
hi,greeting,en
hey jarvis,greeting,en
हैलो,greeting,hi
हाय,greeting,hi
hey jarvis,greeting,en
hello,greeting,en
हाय,greeting,hi
हाय,greeting,hi
नमस्ते,greeting,hi
hello,greeting,en-IN
good morning,greeting,en
hi,greeting,en
हाय,greeting,hin
हाय,greeting,hin
हाय,greeting,hin
हैलो,greeting,hin
hey jarvis,greeting,en
good morning,greeting,en
hey jarvis,greeting,en
hello,greeting,en
हैलो,greeting,hin
hey jarvis,greeting,en
नमस्ते,greeting,hin
good morning,greeting,en-IN
हाय,greeting,hi
नमस्ते,greeting,hi
hey jarvis,greeting,en
good morning,greeting,en
नमस्ते,greeting,hin
hello,greeting,en-IN
hello,greeting,en-IN
good morning,greeting,en-IN
hey jarvis,greeting,en-IN
good morning,greeting,en-IN
नमस्ते,greeting,hin
hey jarvis,greeting,en
hi,greeting,en
